Age,Values
64.0,149
63.0,145
66.0,145
67.0,141
65.0,136
61.0,130
68.0,129
71.0,128
69.0,121
70.0,120
62.0,113
56.0,110
60.0,110
73.0,104
59.0,98
58.0,90
57.0,88
75.0,88
55.0,87
74.0,84
72.0,77
54.0,71
79.0,70
51.0,69
77.0,65
52.0,64
76.0,60
53.0,59
78.0,52
50.0,49
48.0,45
49.0,42
46.0,42
47.0,36
80.0,33
81.0,29
45.0,28
82.0,25
42.0,25
40.0,24
83.0,24
41.0,23
88.0,22
44.0,20
43.0,20
38.0,19
39.0,19
36.0,19
84.0,18
85.0,16
37.0,14
86.0,14
35.0,12
33.0,11
31.0,10
28.0,8
87.0,8
32.0,7
30.0,7
90.0,6
34.0,5
25.0,4
21.0,3
11.0,2
26.0,2
23.0,2
93.0,2
92.0,2
91.0,2
89.0,1
27.0,1
5.0,1
8.0,1
16.0,1
29.0,1
19.0,1
101.0,1
17.0,1
20.0,1
97.0,1
15.0,1
Null values,43
